HP,Provider,HK,Type of asset,MEASURE,Measure,LOCATION,Country,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUS,Australia,2001,2001,AUD,Australian Dollar,6,Millions,2010,2010,5125.795,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUS,Australia,2002,2002,AUD,Australian Dollar,6,Millions,2010,2010,5526.576,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUS,Australia,2003,2003,AUD,Australian Dollar,6,Millions,2010,2010,4856.284,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUS,Australia,2014,2014,AUD,Australian Dollar,6,Millions,2010,2010,9321.877,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUS,Australia,2000,2000,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUS,Australia,2001,2001,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUS,Australia,2002,2002,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUS,Australia,2003,2003,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUS,Australia,2014,2014,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2000,2000,PC,Percentage,0,Units,,,0.62,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2001,2001,PC,Percentage,0,Units,,,0.561,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2002,2002,PC,Percentage,0,Units,,,0.595,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2003,2003,PC,Percentage,0,Units,,,0.625,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2004,2004,PC,Percentage,0,Units,,,0.615,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2005,2005,PC,Percentage,0,Units,,,0.626,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2006,2006,PC,Percentage,0,Units,,,0.581,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2007,2007,PC,Percentage,0,Units,,,0.616,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2008,2008,PC,Percentage,0,Units,,,0.636,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2009,2009,PC,Percentage,0,Units,,,0.663,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2010,2010,PC,Percentage,0,Units,,,0.694,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2011,2011,PC,Percentage,0,Units,,,0.708,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2012,2012,PC,Percentage,0,Units,,,0.772,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2013,2013,PC,Percentage,0,Units,,,0.744,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2014,2014,PC,Percentage,0,Units,,,0.756,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,AUT,Austria,2015,2015,PC,Percentage,0,Units,,,0.736,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2000,2000,EUR,Euro,6,Millions,,,1322.237,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2001,2001,EUR,Euro,6,Millions,,,1233.65,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2002,2002,EUR,Euro,6,Millions,,,1347.182,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2003,2003,EUR,Euro,6,Millions,,,1443.882,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2004,2004,EUR,Euro,6,Millions,,,1486.175,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2005,2005,EUR,Euro,6,Millions,,,1584.488,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2006,2006,EUR,Euro,6,Millions,,,1547.072,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2007,2007,EUR,Euro,6,Millions,,,1739.928,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2008,2008,EUR,Euro,6,Millions,,,1855.254,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2009,2009,EUR,Euro,6,Millions,,,1896.771,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2010,2010,EUR,Euro,6,Millions,,,2045.844,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2011,2011,EUR,Euro,6,Millions,,,2183.925,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2012,2012,EUR,Euro,6,Millions,,,2448.265,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2013,2013,EUR,Euro,6,Millions,,,2400.24,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2014,2014,EUR,Euro,6,Millions,,,2498.348,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,AUT,Austria,2015,2015,EUR,Euro,6,Millions,,,2501.043,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2000,2000,EUR,Euro,6,Millions,2010,2010,1573.519,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2001,2001,EUR,Euro,6,Millions,2010,2010,1441.281,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2002,2002,EUR,Euro,6,Millions,2010,2010,1556.098,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2003,2003,EUR,Euro,6,Millions,2010,2010,1646.24,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2004,2004,EUR,Euro,6,Millions,2010,2010,1664.603,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2005,2005,EUR,Euro,6,Millions,2010,2010,1730.287,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2006,2006,EUR,Euro,6,Millions,2010,2010,1657.786,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2007,2007,EUR,Euro,6,Millions,2010,2010,1823.382,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2008,2008,EUR,Euro,6,Millions,2010,2010,1909.509,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2009,2009,EUR,Euro,6,Millions,2010,2010,1915.754,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2010,2010,EUR,Euro,6,Millions,2010,2010,2045.844,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2011,2011,EUR,Euro,6,Millions,2010,2010,2143.381,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2012,2012,EUR,Euro,6,Millions,2010,2010,2355.95,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2013,2013,EUR,Euro,6,Millions,2010,2010,2273.727,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2014,2014,EUR,Euro,6,Millions,2010,2010,2325.131,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",AUT,Austria,2015,2015,EUR,Euro,6,Millions,2010,2010,2284.521,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2000,2000,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2001,2001,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2002,2002,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2003,2003,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2004,2004,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2005,2005,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2006,2006,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2007,2007,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2008,2008,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2009,2009,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2010,2010,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2011,2011,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2012,2012,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2013,2013,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2014,2014,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,AUT,Austria,2015,2015,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2000,2000,PC,Percentage,0,Units,,,0.36,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2001,2001,PC,Percentage,0,Units,,,0.395,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2002,2002,PC,Percentage,0,Units,,,0.415,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2003,2003,PC,Percentage,0,Units,,,0.448,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2004,2004,PC,Percentage,0,Units,,,0.414,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2005,2005,PC,Percentage,0,Units,,,0.466,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2006,2006,PC,Percentage,0,Units,,,0.485,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2007,2007,PC,Percentage,0,Units,,,0.461,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2008,2008,PC,Percentage,0,Units,,,0.494,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2009,2009,PC,Percentage,0,Units,,,0.559,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2010,2010,PC,Percentage,0,Units,,,0.608,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2011,2011,PC,Percentage,0,Units,,,0.555,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2012,2012,PC,Percentage,0,Units,,,0.564,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2013,2013,PC,Percentage,0,Units,,,0.465,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2014,2014,PC,Percentage,0,Units,,,0.436,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2015,2015,PC,Percentage,0,Units,,,0.461,P,Provisional value
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CAN,Canada,2016,2016,PC,Percentage,0,Units,,,0.447,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2000,2000,CAD,Canadian Dollar,6,Millions,,,3965.522,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2001,2001,CAD,Canadian Dollar,6,Millions,,,4508.707,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2002,2002,CAD,Canadian Dollar,6,Millions,,,4933.038,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2003,2003,CAD,Canadian Dollar,6,Millions,,,5601.639,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2004,2004,CAD,Canadian Dollar,6,Millions,,,5509.958,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2005,2005,CAD,Canadian Dollar,6,Millions,,,6596.713,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2006,2006,CAD,Canadian Dollar,6,Millions,,,7240.687,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2007,2007,CAD,Canadian Dollar,6,Millions,,,7255.437,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2008,2008,CAD,Canadian Dollar,6,Millions,,,8167.315,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2009,2009,CAD,Canadian Dollar,6,Millions,,,8758.733,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2010,2010,CAD,Canadian Dollar,6,Millions,,,10100.676,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2011,2011,CAD,Canadian Dollar,6,Millions,,,9824.897,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2012,2012,CAD,Canadian Dollar,6,Millions,,,10285.31,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2013,2013,CAD,Canadian Dollar,6,Millions,,,8827.971,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2014,2014,CAD,Canadian Dollar,6,Millions,,,8652.03,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2015,2015,CAD,Canadian Dollar,6,Millions,,,9164.474,P,Provisional value
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),MLLNCU,Current prices,CAN,Canada,2016,2016,CAD,Canadian Dollar,6,Millions,,,9066.114,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2000,2000,CAD,Canadian Dollar,6,Millions,2010,2010,4975.831,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2001,2001,CAD,Canadian Dollar,6,Millions,2010,2010,5565.121,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2002,2002,CAD,Canadian Dollar,6,Millions,2010,2010,6014.046,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2003,2003,CAD,Canadian Dollar,6,Millions,2010,2010,6613.82,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2004,2004,CAD,Canadian Dollar,6,Millions,2010,2010,6298.954,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2005,2005,CAD,Canadian Dollar,6,Millions,2010,2010,7311.238,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2006,2006,CAD,Canadian Dollar,6,Millions,2010,2010,7820.579,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2007,2007,CAD,Canadian Dollar,6,Millions,2010,2010,7584.788,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2008,2008,CAD,Canadian Dollar,6,Millions,2010,2010,8209.28,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2009,2009,CAD,Canadian Dollar,6,Millions,2010,2010,9010.459,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2010,2010,CAD,Canadian Dollar,6,Millions,2010,2010,10100.676,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2011,2011,CAD,Canadian Dollar,6,Millions,2010,2010,9516.371,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2012,2012,CAD,Canadian Dollar,6,Millions,2010,2010,9842.123,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2013,2013,CAD,Canadian Dollar,6,Millions,2010,2010,8315.767,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2014,2014,CAD,Canadian Dollar,6,Millions,2010,2010,7998.35,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2015,2015,CAD,Canadian Dollar,6,Millions,2010,2010,8538.613,P,Provisional value
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),VALREL,"Constant prices, OECD base year",CAN,Canada,2016,2016,CAD,Canadian Dollar,6,Millions,2010,2010,8396.2,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2000,2000,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2001,2001,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2002,2002,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2003,2003,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2004,2004,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2005,2005,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2006,2006,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2007,2007,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2008,2008,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2009,2009,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2010,2010,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2011,2011,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2012,2012,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2013,2013,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2014,2014,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2015,2015,PC,Percentage,0,Units,,,100,P,Provisional value
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARHP,Share of provider,CAN,Canada,2016,2016,PC,Percentage,0,Units,,,100,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CZE,Czech Republic,2000,2000,PC,Percentage,0,Units,,,0.306,B,Break
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CZE,Czech Republic,2001,2001,PC,Percentage,0,Units,,,0.236,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CZE,Czech Republic,2002,2002,PC,Percentage,0,Units,,,0.31,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CZE,Czech Republic,2003,2003,PC,Percentage,0,Units,,,0.268,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CZE,Czech Republic,2004,2004,PC,Percentage,0,Units,,,0.218,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CZE,Czech Republic,2005,2005,PC,Percentage,0,Units,,,0.237,,
HP1_8,All domestic providers,HK11,Gross fixed capital formation (all types of assets),PARPIB,Share of gross domestic product,CZE,Czech Republic,2006,2006,PC,Percentage,0,Units,,,0.193,,
