"Row","IndicatorCode","IndicatorName","LineItems",
"129","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Fugitive emissions from solid fuels",
"130","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Fugitive emissions from oil and gas",
"131","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Memo: International aviation",
"132","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Memo: International navigation",
"133","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Production of minerals",
"134","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Cement production",
"135","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Lime production",
"136","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Production of chemicals",
"137","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Production of metals",
"138","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Production of pulp/paper/food/drink",
"139","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Production of halocarbons and SF6",
"140","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Refrigeration and Air Conditioning",
"141","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Foam Blowing",
"142","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Fire Extinguishers",
"143","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Aerosols",
"144","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","F-gas as Solvent",
"145","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Semiconductor/Electronics Manufacture",
"146","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Electrical Equipment",
"147","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Other F-gas use",
"148","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Non-energy use of lubricants/waxes (CO2)",
"149","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Solvent and other product use: paint",
"150","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Solvent and other product use: degrease",
"151","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Solvent and other product use: chemicals",
"152","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Solvent and other product use: other",
"153","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Enteric fermentation",
"154","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Manure management",
"155","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Rice cultivation",
"156","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Direct soil emissions",
"157","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Manure in pasture/range/paddock",
"158","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Indirect N2O from agriculture",
"159","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Other direct soil emissions",
"160","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Savanna burning",
"161","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Agricultural waste burning",
"162","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Forest fires",
"163","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Grassland fires",
"164","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Decay of wetlands/peatlands",
"165","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Other vegetation fires",
"166","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Forest Fires-Post burn decay",
"167","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Solid waste disposal on land",
"168","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Wastewater handling",
"169","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Waste incineration",
"170","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Other waste handling",
"171","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Fossil fuel fires",
"172","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Indirect N2O from non-agricultural NOx",
"173","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Indirect N2O from non-agricultural NH3",
"174","I-GHG-CH4","I-GHG-CH4 emissions (Gg)","Other sources",
"175","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Public electricity and heat production",
"176","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Other Energy Industries",
"177","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Manufacturing Industries and Construction",
"178","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Domestic aviation",
"179","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Road transportation",
"180","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Rail transportation",
"181","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Inland navigation",
"182","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Other transportation",
"183","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Residential and other sectors",
"184","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Fugitive emissions from solid fuels",
"185","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Fugitive emissions from oil and gas",
"186","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Memo: International aviation",
"187","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Memo: International navigation",
"188","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Production of minerals",
"189","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Cement production",
"190","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Lime production",
"191","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Production of chemicals",
"192","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Production of metals",
"193","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Production of pulp/paper/food/drink",
"194","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Production of halocarbons and SF6",
"195","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Refrigeration and Air Conditioning",
"196","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Foam Blowing",
"197","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Fire Extinguishers",
"198","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Aerosols",
"199","I-GHG-N2O","I-GHG-N2O emissions (Gg)","F-gas as Solvent",
"200","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Semiconductor/Electronics Manufacture",
"201","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Electrical Equipment",
"202","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Other F-gas use",
"203","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Non-energy use of lubricants/waxes (CO2)",
"204","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Solvent and other product use: paint",
"205","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Solvent and other product use: degrease",
"206","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Solvent and other product use: chemicals",
"207","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Solvent and other product use: other",
"208","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Enteric fermentation",
"209","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Manure management",
"210","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Rice cultivation",
"211","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Direct soil emissions",
"212","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Manure in pasture/range/paddock",
"213","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Indirect N2O from agriculture",
"214","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Other direct soil emissions",
"215","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Savanna burning",
"216","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Agricultural waste burning",
"217","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Forest fires",
"218","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Grassland fires",
"219","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Decay of wetlands/peatlands",
"220","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Other vegetation fires",
"221","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Forest Fires-Post burn decay",
"222","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Solid waste disposal on land",
"223","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Wastewater handling",
"224","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Waste incineration",
"225","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Other waste handling",
"226","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Fossil fuel fires",
"227","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Indirect N2O from non-agricultural NOx",
"228","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Indirect N2O from non-agricultural NH3",
"229","I-GHG-N2O","I-GHG-N2O emissions (Gg)","Other sources",
"230","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Public electricity and heat production",
"231","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Other Energy Industries",
"232","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Manufacturing Industries and Construction",
"233","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Domestic aviation",
"234","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Road transportation",
"235","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Rail transportation",
"236","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Inland navigation",
"237","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Other transportation",
"238","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Residential and other sectors",
"239","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Fugitive emissions from solid fuels",
"240","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Fugitive emissions from oil and gas",
"241","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Memo: International aviation",
"242","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Memo: International navigation",
"243","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Production of minerals",
"244","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Cement production",
"245","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Lime production",
"246","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Production of chemicals",
"247","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Production of metals",
"248","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Production of pulp/paper/food/drink",
"249","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Production of halocarbons and SF6",
"250","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Refrigeration and Air Conditioning",
"251","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Foam Blowing",
"252","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Fire Extinguishers",
"253","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Aerosols",
"254","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","F-gas as Solvent",
"255","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Semiconductor/Electronics Manufacture",
"256","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Electrical Equipment",
"257","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Other F-gas use",
"258","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Non-energy use of lubricants/waxes (CO2)",
"259","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Solvent and other product use: paint",
"260","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Solvent and other product use: degrease",
"261","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Solvent and other product use: chemicals",
"262","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Solvent and other product use: other",
"263","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Enteric fermentation",
"264","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Manure management",
"265","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Rice cultivation",
"266","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Direct soil emissions",
"267","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Manure in pasture/range/paddock",
"268","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Indirect N2O from agriculture",
"269","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Other direct soil emissions",
"270","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Savanna burning",
"271","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Agricultural waste burning",
"272","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Forest fires",
"273","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Grassland fires",
"274","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Decay of wetlands/peatlands",
"275","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Other vegetation fires",
"276","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Forest Fires-Post burn decay",
"277","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Solid waste disposal on land",
"278","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Wastewater handling",
"279","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Waste incineration",
"280","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Other waste handling",
"281","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Fossil fuel fires",
"282","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Indirect N2O from non-agricultural NOx",
"283","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Indirect N2O from non-agricultural NH3",
"284","I-GHG-HFC125","I-GHG-HFC125 emissions (Gg)","Other sources",
"285","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Public electricity and heat production",
"286","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Other Energy Industries",
"287","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Manufacturing Industries and Construction",
"288","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Domestic aviation",
"289","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Road transportation",
"290","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Rail transportation",
"291","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Inland navigation",
"292","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Other transportation",
"293","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Residential and other sectors",
"294","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Fugitive emissions from solid fuels",
"295","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Fugitive emissions from oil and gas",
"296","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Memo: International aviation",
"297","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Memo: International navigation",
"298","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Production of minerals",
"299","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Cement production",
"300","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Lime production",
"301","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Production of chemicals",
"302","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Production of metals",
"303","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Production of pulp/paper/food/drink",
"304","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Production of halocarbons and SF6",
"305","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Refrigeration and Air Conditioning",
"306","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Foam Blowing",
"307","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Fire Extinguishers",
"308","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Aerosols",
"309","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","F-gas as Solvent",
"310","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Semiconductor/Electronics Manufacture",
"311","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Electrical Equipment",
"312","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Other F-gas use",
"313","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Non-energy use of lubricants/waxes (CO2)",
"314","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Solvent and other product use: paint",
"315","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Solvent and other product use: degrease",
"316","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Solvent and other product use: chemicals",
"317","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Solvent and other product use: other",
"318","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Enteric fermentation",
"319","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Manure management",
"320","I-GHG-HFC134a","I-GHG-HFC134a emissions (Gg)","Rice cultivation",
